"filename","tag_count","id","title","date","author","layout","guid","permalink","podPressPostSpecific","- 'a","categories","tags","podPressMedia","excerpt","enclosure","- ""http","image"
"2008-08-28-now-with-burning-feeds.md","4","111","Now with Burning Feeds","2008-08-28T01:54:33-06:00","Jim McKeeth","post","http://www.delphi.org/?p=111","/2008/08/now-with-burning-feeds/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","Audio podCast, feed, News, podcast","","","","",""
"2008-09-01-episode-3-barry-kelly.md","6","121","3 ? Barry Kelly","2008-09-01T16:59:04-06:00","Jim McKeeth","post","http://www.delphi.org/?p=121","/2008/09/episode-3-barry-kelly/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","anonymous methods, Audio podCast, compiler, delphi, garbage collection, generics","","","","",""
"2008-09-03-ideal-podcast-duration.md","4","138","Ideal Podcast Duration","2008-09-03T16:38:13-06:00","Jim McKeeth","post","http://www.delphi.org/?p=138","/2008/09/ideal-podcast-duration/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","duration, News, podcast, poll","","","","",""
"2008-09-04-tiobe-delphi-in-top-10.md","7","141","TIOBE: Delphi in top 10 again after strong comeback","2008-09-04T22:49:23-06:00","Jim McKeeth","post","http://www.delphi.org/?p=141","/2008/09/tiobe-delphi-in-top-10/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","community, delphi, marketing, News, search engines, september, TPCI","","","","",""
"2008-09-05-the-worst-thing-about-delphi.md","6","144","The Worst Thing About Delphi","2008-09-05T05:49:32-06:00","Jim McKeeth","post","http://www.delphi.org/?p=144","/2008/09/the-worst-thing-about-delphi/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","comic, compiling, Funny, News, programmers, xkcd","","","","",""
"2008-09-05-updated-delphi-logos.md","1","151","Updated Delphi Logos","2008-09-05T20:17:35-06:00","Jim McKeeth","post","http://www.delphi.org/?p=151","/2008/09/updated-delphi-logos/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","News","","","","",""
"2008-09-08-episode-4-julian-bucknall.md","5","164","4.1 ? Julian Bucknall","2008-09-08T01:12:37-06:00","Jim McKeeth","post","http://www.delphi.org/?p=164","/2008/09/episode-4-julian-bucknall/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","Audio podCast, data structures, delphi, devexpress, generics","","","","",""
"2008-09-08-rtm-delphi-2009.md","4","177","RTM: Delphi 2009","2008-09-08T12:43:07-06:00","Jim McKeeth","post","http://www.delphi.org/?p=177","/2008/09/rtm-delphi-2009/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","delphi 2009, News, release, twitter","","","","",""
"2008-09-09-episode-4-julian-bucknall-part-2.md","5","180","4.2 ? Julian Bucknall","2008-09-09T23:37:54-06:00","Jim McKeeth","post","http://www.delphi.org/?p=180","/2008/09/episode-4-julian-bucknall-part-2/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","Audio podCast, data structures, delphi, devexpress, generics","","","","",""
"2008-09-11-delphi-2009-iso-available.md","3","182","Delphi 2009 ISO Available (Direct Link)","2008-09-11T09:06:26-06:00","Jim McKeeth","post","http://www.delphi.org/?p=182","/2008/09/delphi-2009-iso-available/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","delphi 2009, download, News","","","","",""
